S/N,Journal ID,Journal Title,eISSN,Journal Imprint,Main Discipline,Publishing Model,OA License,URL
1656,289,Polymer Bulletin,1436-2449,Springer,Chemistry,Springer Hybrid,CC BY-NC-ND,https://springer.com/289
1657,41428,Polymer Journal,1349-0540,Springer Nature,Chemistry,Springer Hybrid,CC BY,https://springer.com/41428
1658,41050,Polytechnica,2520-8063,Springer,Engineering,Springer Hybrid,CC BY,https://springer.com/41050
1659,11111,Population and Environment,1573-7810,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/11111
1660,11113,Population Research and Policy Review,1573-7829,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/11113
1661,10258,Portuguese Economic Journal,1617-9838,Springer,Economics,Springer Hybrid,CC BY,https://springer.com/10258
1662,11117,Positivity,1572-9281,Birkhäuser,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/11117
1663,42438,Postdigital Science and Education,2524-4868,Springer,Education,Springer Hybrid,CC BY-NC-ND,https://springer.com/42438
1664,41280,postmedieval,2040-5979,Palgrave Macmillan,Literature,Springer Hybrid,CC BY-NC-ND,https://springer.com/41280
1665,11540,Potato Research,1871-4528,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/11540
1666,11118,Potential Analysis,1572-929X,Springer,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/11118
1667,11106,Powder Metallurgy and Metal Ceramics,1573-9066,Springer,Materials Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/11106
1668,11553,Prävention und Gesundheitsförderung,1861-6763,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/11553
1669,11119,Precision Agriculture,1573-1618,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/11119
1670,11121,Prevention Science,1573-6695,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/11121
1671,10329,Primates,1610-7365,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/10329
1672,735,PRO CARE,1613-7574,SpringerMedizin,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/735
1673,440,Probability Theory and Related Fields,1432-2064,Springer,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/440
1674,12602,Probiotics and Antimicrobial Proteins,1867-1314,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/12602
1675,40010,"Proceedings of the National Academy of Sciences, India Section A: Physical Sciences",2250-1762,Springer,Physics,Springer Hybrid,CC BY,https://springer.com/40010
1676,40011,"Proceedings of the National Academy of Sciences, India Section B: Biological Sciences",2250-1746,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/40011
1677,12595,Proceedings of the Zoological Society,0974-6919,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/12595
1678,41660,Process Integration and Optimization for Sustainability,2509-4246,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/41660
1679,11740,Production Engineering,1863-7353,Springer,Engineering,Springer Hybrid,CC BY,https://springer.com/11740
1680,40964,Progress in Additive Manufacturing,2363-9520,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/40964
1681,13748,Progress in Artificial Intelligence,2192-6360,Springer,Computer Science,Springer Hybrid,CC BY,https://springer.com/13748
1682,40204,Progress in Biomaterials,2194-0517,Springer,Materials Science,Springer Hybrid,CC BY,https://springer.com/40204
1683,11125,Prospects,1573-9090,Springer,Education,Springer Hybrid,CC BY,https://springer.com/11125
1684,41391,Prostate Cancer and Prostatic Diseases,1476-5608,Springer Nature,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/41391
1685,709,Protoplasma,1615-6102,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/709
1686,11126,Psychiatric Quarterly,1573-6709,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/11126
1687,41282,"Psychoanalysis, Culture & Society",1543-3390,Palgrave Macmillan,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/41282
1688,12207,Psychological Injury and Law,1938-9728,Springer,Psychology,Springer Hybrid,CC BY-NC-ND,https://springer.com/12207
1689,426,Psychological Research,1430-2772,Springer,Psychology,Springer Hybrid,CC BY-NC-ND,https://springer.com/426
1690,12646,Psychological Studies,0974-9861,Springer,Psychology,Springer Hybrid,CC BY,https://springer.com/12646
1691,13423,Psychonomic Bulletin & Review,1531-5320,Springer,Psychology,Springer Hybrid,CC BY,https://springer.com/13423
1692,213,Psychopharmacology,1432-2072,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/213
1693,739,Psychopraxis. Neuropraxis,2197-9715,SpringerMedizin,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/739
1694,729,Psychotherapie Forum,1613-7604,SpringerMedizin,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/729
1695,11127,Public Choice,1573-7101,Springer,Economics,Springer Hybrid,CC BY-NC-ND,https://springer.com/11127
1696,11115,Public Organization Review,1573-7098,Springer,Political Science and International Relations,Springer Hybrid,CC BY-NC-ND,https://springer.com/11115
1697,12469,Public Transport,1613-7159,Springer,Business and Management,Springer Hybrid,CC BY-NC-ND,https://springer.com/12469
1698,12109,Publishing Research Quarterly,1936-4792,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/12109
1699,11616,Publizistik,1862-2569,Springer,Social Sciences,Springer Hybrid,CC BY,https://springer.com/11616
1700,24,Pure and Applied Geophysics,1420-9136,Springer,Earth Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/24
1701,11302,Purinergic Signalling,1573-9546,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/11302
1702,11133,Qualitative Sociology,1573-7837,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/11133
1703,12346,Qualitative Theory of Dynamical Systems,1662-3592,Birkhäuser,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/12346
1704,11135,Quality & Quantity,1573-7845,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/11135
1705,41233,Quality and User Experience,2366-0147,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/41233
1706,11136,Quality of Life Research,1573-2649,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/11136
1707,11129,Quantitative Marketing and Economics,1573-711X,Springer,Business and Management,Springer Hybrid,CC BY-NC-ND,https://springer.com/11129
1708,11128,Quantum Information Processing,1573-1332,Springer,Physics,Springer Hybrid,CC BY-NC-ND,https://springer.com/11128
1709,42484,Quantum Machine Intelligence,2524-4914,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/42484
1710,40509,Quantum Studies: Mathematics and Foundations,2196-5617,Birkhäuser,Mathematics,Springer Hybrid,CC BY,https://springer.com/40509
1711,11134,Queueing Systems,1572-9443,Springer,Business and Management,Springer Hybrid,CC BY-NC-ND,https://springer.com/11134
1712,12552,Race and Social Problems,1867-1756,Springer,Social Sciences,Springer Hybrid,CC BY,https://springer.com/12552
1713,411,Radiation and Environmental Biophysics,1432-2099,Springer,Physics,Springer Hybrid,CC BY-NC-ND,https://springer.com/411
1714,41605,Radiation Detection Technology and Methods,2509-9949,Springer,Physics,Springer Hybrid,CC BY,https://springer.com/41605
1715,12194,Radiological Physics and Technology,1865-0341,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/12194
1716,12598,Rare Metals,1867-7185,Springer,Materials Science,Springer Hybrid,CC BY,https://springer.com/12598
1717,11144,"Reaction Kinetics, Mechanisms and Catalysis",1878-5204,"Akadémiai Kiadó, co-published with Springer",Chemistry,Springer Hybrid,CC BY,https://springer.com/11144
1718,11145,Reading and Writing,1573-0905,Springer,Linguistics,Springer Hybrid,CC BY-NC-ND,https://springer.com/11145
1719,11241,Real-Time Systems,1573-1383,Springer,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/11241
1720,194,Rechtsmedizin,1434-5196,SpringerMedizin,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/194
1721,40883,Regenerative Engineering and Translational Medicine,2364-4141,Springer,Materials Science,Springer Hybrid,CC BY,https://springer.com/40883
1722,10113,Regional Environmental Change,1436-378X,Springer,Environment,Springer Hybrid,CC BY-NC-ND,https://springer.com/10113
1723,41976,Remote Sensing in Earth Systems Sciences,2520-8209,Springer,Geography,Springer Hybrid,CC BY-NC-ND,https://springer.com/41976
1724,12215,Rendiconti del Circolo Matematico di Palermo Series 2,1973-4409,Springer,Mathematics,Springer Hybrid,CC BY,https://springer.com/12215
1725,12210,Rendiconti Lincei. Scienze Fisiche e Naturali,1720-0776,Springer,Environment,Springer Hybrid,CC BY,https://springer.com/12210
1726,43032,Reproductive Sciences,1933-7205,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/43032
1727,766,Requirements Engineering,1432-010X,Springer,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/766
1728,11158,Res Publica,1572-8692,Springer,Philosophy,Springer Hybrid,CC BY-NC-ND,https://springer.com/11158
1729,163,Research in Engineering Design,1435-6066,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/163
1730,11162,Research in Higher Education,1573-188X,Springer,Education,Springer Hybrid,CC BY-NC-ND,https://springer.com/11162
1731,40993,Research in Number Theory,2363-9555,Springer,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/40993
1732,11165,Research in Science Education,1573-1898,Springer,Education,Springer Hybrid,CC BY-NC-ND,https://springer.com/11165
1733,40687,Research in the Mathematical Sciences,2197-9847,Springer,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/40687
1734,42600,Research on Biomedical Engineering,2446-4740,Springer,Engineering,Springer Hybrid,CC BY,https://springer.com/42600
1735,11164,Research on Chemical Intermediates,1568-5675,Springer,Chemistry,Springer Hybrid,CC BY-NC-ND,https://springer.com/11164
1736,10802,Research on Child and Adolescent Psychopathology,2730-7174,Springer,Psychology,Springer Hybrid,CC BY-NC-ND,https://springer.com/10802
1737,25,Results in Mathematics,1420-9012,Birkhäuser,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/25
1738,40489,Review Journal of Autism and Developmental Disorders,2195-7185,Springer,Psychology,Springer Hybrid,CC BY-NC-ND,https://springer.com/40489
1739,11142,Review of Accounting Studies,1573-7136,Springer,Business and Management,Springer Hybrid,CC BY-NC-ND,https://springer.com/11142
1740,41130,"Review of Agricultural, Food and Environmental Studies",2425-6897,Springer,Economics,Springer Hybrid,CC BY,https://springer.com/41130
1741,11147,Review of Derivatives Research,1573-7144,Springer,Finance,Springer Hybrid,CC BY-NC-ND,https://springer.com/11147
1742,10058,Review of Economic Design,1434-4750,Springer,Economics,Springer Hybrid,CC BY-NC-ND,https://springer.com/10058
1743,11150,Review of Economics of the Household,1573-7152,Springer,Economics,Springer Hybrid,CC BY-NC-ND,https://springer.com/11150
1744,43253,Review of Evolutionary Political Economy,2662-6144,Springer,Economics,Springer Hybrid,CC BY,https://springer.com/43253
1745,11151,Review of Industrial Organization,1573-7160,Springer,Economics,Springer Hybrid,CC BY-NC-ND,https://springer.com/11151
1746,11846,Review of Managerial Science,1863-6691,Springer,Business and Management,Springer Hybrid,CC BY-NC-ND,https://springer.com/11846
1747,13164,Review of Philosophy and Psychology,1878-5166,Springer,Philosophy,Springer Hybrid,CC BY-NC-ND,https://springer.com/13164
1748,11156,Review of Quantitative Finance and Accounting,1573-7179,Springer,Finance,Springer Hybrid,CC BY-NC-ND,https://springer.com/11156
1749,10037,Review of Regional Research,1613-9836,Springer,Economics,Springer Hybrid,CC BY,https://springer.com/10037
1750,10290,Review of World Economics,1610-2886,Springer,Economics,Springer Hybrid,CC BY,https://springer.com/10290
1751,11154,Reviews in Endocrine and Metabolic Disorders,1573-2606,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/11154
1752,11157,Reviews in Environmental Science and Bio/Technology,1572-9826,Springer,Environment,Springer Hybrid,CC BY-NC-ND,https://springer.com/11157
1753,11160,Reviews in Fish Biology and Fisheries,1573-5184,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/11160
1754,44169,Reviews of Environmental Contamination and Toxicology,2197-6554,Springer,Environment,Springer Hybrid,CC BY-NC-ND,https://springer.com/44169
1755,41614,Reviews of Modern Plasma Physics,2367-3192,Springer,Physics,Springer Hybrid,CC BY,https://springer.com/41614
1756,43450,Revista Brasileira de Farmacognosia,1981-528X,Springer,Pharmacy,Springer Hybrid,CC BY,https://springer.com/43450
1757,13398,"Revista de la Real Academia de Ciencias Exactas, Físicas y Naturales. Serie A. Matemáticas",1579-1505,Springer,Mathematics,Springer Hybrid,CC BY,https://springer.com/13398
1758,13163,Revista Matemática Complutense,1988-2807,Springer,Mathematics,Springer Hybrid,CC BY,https://springer.com/13163
1759,397,Rheologica Acta,1435-1528,Springer,Materials Science,Springer Hybrid,CC BY,https://springer.com/397
1760,12688,Rheuma plus,2191-2610,SpringerMedizin,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/12688
1761,44332,Rheuma Plus / Schweiz,3004-8931,SpringerMedizin,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/44332
1762,296,Rheumatology International,1437-160X,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/296
1763,11587,Ricerche di Matematica,1827-3491,Springer,Mathematics,Springer Hybrid,CC BY,https://springer.com/11587
1764,41283,Risk Management,1743-4637,Palgrave Macmillan,Finance,Springer Hybrid,CC BY-NC-ND,https://springer.com/41283
1765,603,Rock Mechanics and Rock Engineering,1434-453X,Springer,Earth Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/603
1766,11185,Russian Linguistics,1572-8714,Springer,Linguistics,Springer Hybrid,CC BY-NC-ND,https://springer.com/11185
1767,11182,Russian Physics Journal,1573-9228,Springer,Physics,Springer Hybrid,CC BY-NC-ND,https://springer.com/11182
1768,42797,Safety in Extreme Environments,2524-8189,Springer,Earth Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/42797
1769,43670,"Sampling Theory, Signal Processing, and Data Analysis",2730-5724,Birkhäuser,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/43670
1770,13171,Sankhya A,0976-8378,Springer,Statistics,Springer Hybrid,CC BY,https://springer.com/13171
1771,13571,Sankhya B,0976-8394,Springer,Statistics,Springer Hybrid,CC BY,https://springer.com/13571
1772,40863,São Paulo Journal of Mathematical Sciences,2316-9028,Springer,Mathematics,Springer Hybrid,CC BY,https://springer.com/40863
1773,44180,Schmerz Nachrichten,2731-3999,SpringerMedizin,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/44180
1774,12310,School Mental Health,1866-2633,Springer,Psychology,Springer Hybrid,CC BY-NC-ND,https://springer.com/12310
1775,43472,Schweizer Gastroenterologie,2662-7159,SpringerMedizin,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/43472
1776,11191,Science & Education,1573-1901,Springer,Education,Springer Hybrid,CC BY-NC-ND,https://springer.com/11191
1777,11426,Science China Chemistry,1869-1870,"Science China Press, co-published with Springer",Chemistry,Springer Hybrid,CC BY,https://springer.com/11426
1778,11430,Science China Earth Sciences,1869-1897,"Science China Press, co-published with Springer",Earth Sciences,Springer Hybrid,CC BY,https://springer.com/11430
1779,11432,Science China Information Sciences,1869-1919,"Science China Press, co-published with Springer",Computer Science,Springer Hybrid,CC BY,https://springer.com/11432
1780,11427,Science China Life Sciences,1869-1889,"Science China Press, co-published with Springer",Life Sciences,Springer Hybrid,CC BY,https://springer.com/11427
1781,40843,Science China Materials,2199-4501,"Science China Press, co-published with Springer",Materials Science,Springer Hybrid,CC BY,https://springer.com/40843
1782,11425,Science China Mathematics,1869-1862,"Science China Press, co-published with Springer",Mathematics,Springer Hybrid,CC BY,https://springer.com/11425
1783,11433,"Science China Physics, Mechanics & Astronomy",1869-1927,"Science China Press, co-published with Springer",Physics,Springer Hybrid,CC BY,https://springer.com/11433
1784,11431,Science China Technological Sciences,1869-1900,"Science China Press, co-published with Springer",Engineering,Springer Hybrid,CC BY,https://springer.com/11431
1785,11192,Scientometrics,1588-2861,"Akadémiai Kiadó, co-published with Springer",Computer Science,Springer Hybrid,CC BY,https://springer.com/11192
1786,41284,Security Journal,1743-4645,Palgrave Macmillan,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/41284
1787,29,Selecta Mathematica,1420-9020,Birkhäuser,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/29
1788,40324,SeMA Journal,2281-7875,Springer,Mathematics,Springer Hybrid,CC BY,https://springer.com/40324
1789,233,Semigroup Forum,1432-2137,Springer,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/233
1790,281,Seminars in Immunopathology,1863-2300,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/281
1791,11220,Sensing and Imaging,1557-2072,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/11220
1792,13209,SERIEs,1869-4195,Springer,Economics,Springer Hybrid,CC BY,https://springer.com/13209
1793,11628,Service Business,1862-8508,Springer,Business and Management,Springer Hybrid,CC BY-NC-ND,https://springer.com/11628
1794,11761,Service Oriented Computing and Applications,1863-2394,Springer,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/11761
1795,11228,Set-Valued and Variational Analysis,1877-0541,Springer,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/11228
1796,11199,Sex Roles,1573-2762,Springer,Psychology,Springer Hybrid,CC BY-NC-ND,https://springer.com/11199
1797,12119,Sexuality & Culture,1936-4822,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/12119
1798,11195,Sexuality and Disability,1573-6717,Springer,Psychology,Springer Hybrid,CC BY-NC-ND,https://springer.com/11195
1799,13178,Sexuality Research and Social Policy,1553-6610,Springer,Psychology,Springer Hybrid,CC BY-NC-ND,https://springer.com/13178
1800,40830,Shape Memory and Superelasticity,2199-3858,Springer,Materials Science,Springer Hybrid,CC BY,https://springer.com/40830
1801,193,Shock Waves,1432-2153,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/193
1802,11760,"Signal, Image and Video Processing",1863-1711,Springer,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/11760
1803,12633,Silicon,1876-9918,Springer,Chemistry,Springer Hybrid,CC BY-NC-ND,https://springer.com/12633
1804,256,Skeletal Radiology,1432-2161,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/256
1805,41105,Sleep and Biological Rhythms,1479-8425,Springer,Biomedicine,Springer Hybrid,CC BY,https://springer.com/41105
1806,11325,Sleep and Breathing,1522-1709,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/11325
1807,41782,Sleep and Vigilance,2510-2265,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/41782
1808,11187,Small Business Economics,1573-0913,Springer,Business and Management,Springer Hybrid,CC BY-NC-ND,https://springer.com/11187
1809,11842,Small-Scale Forestry,1873-7854,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/11842
1810,40866,Smart Grids and Sustainable Energy,2731-8087,Springer,Energy,Springer Hybrid,CC BY-NC-ND,https://springer.com/40866
1811,43546,SN Business & Economics,2662-9399,Springer Nature,Business and Management,Springer Hybrid,CC BY-NC-ND,https://springer.com/43546
1812,42399,SN Comprehensive Clinical Medicine,2523-8973,Springer Nature,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/42399
1813,42979,SN Computer Science,2661-8907,Springer Nature,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/42979
1814,43545,SN Social Sciences,2662-9283,Springer Nature,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/43545
1815,355,Social Choice and Welfare,1432-217X,Springer,Economics,Springer Hybrid,CC BY-NC-ND,https://springer.com/355
1816,11205,Social Indicators Research,1573-0921,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/11205
1817,11211,Social Justice Research,1573-6725,Springer,Psychology,Springer Hybrid,CC BY-NC-ND,https://springer.com/11211
1818,127,Social Psychiatry and Psychiatric Epidemiology,1433-9285,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/127
1819,11218,Social Psychology of Education,1573-1928,Springer,Education,Springer Hybrid,CC BY-NC-ND,https://springer.com/11218
1820,41285,Social Theory & Health,1477-822X,Palgrave Macmillan,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/41285
1821,12115,Society,1936-4725,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/12115
1822,42532,Socio-Ecological Practice Research,2524-5287,Springer,Geography,Springer Hybrid,CC BY-NC-ND,https://springer.com/42532
1823,500,Soft Computing,1433-7479,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/500
1824,10270,Software and Systems Modeling,1619-1374,Springer,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/10270
1825,11219,Software Quality Journal,1573-1367,Springer,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/11219
1826,42832,Soil Ecology Letters,2662-2297,"Higher Education Press, co-published with Springer",Environment,Springer Hybrid,CC BY,https://springer.com/42832
1827,11207,Solar Physics,1573-093X,Springer,Physics,Springer Hybrid,CC BY-NC-ND,https://springer.com/11207
1828,11818,Somnologie,1439-054X,SpringerMedizin,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/11818
1829,11841,Sophia,1873-930X,Springer,Philosophy,Springer Hybrid,CC BY-NC-ND,https://springer.com/11841
1830,12054,Sozial Extra,1863-8953,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/12054
1831,12592,Soziale Passagen,1867-0199,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/12592
1832,11214,Space Science Reviews,1572-9672,Springer,Physics,Springer Hybrid,CC BY-NC-ND,https://springer.com/11214
1833,40980,Spatial Demography,2164-7070,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/40980
1834,41324,Spatial Information Research,2366-3294,"Korea Spatial Information Society, co-published with Springer",Geography,Springer Hybrid,CC BY,https://springer.com/41324
1835,717,Spektrum der Augenheilkunde,1613-7523,SpringerMedizin,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/717
1836,41393,Spinal Cord,1476-5624,Springer Nature,Biomedicine,Springer Hybrid,CC BY,https://springer.com/41393
1837,41394,Spinal Cord Series and Cases,2058-6124,Springer Nature,Biomedicine,Springer Hybrid,CC BY,https://springer.com/41394
1838,43390,Spine Deformity,2212-1358,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/43390
1839,11332,Sport Sciences for Health,1825-1234,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/11332
1840,12283,Sports Engineering,1460-2687,Springer,Engineering,Springer Hybrid,CC BY,https://springer.com/12283
1841,40279,Sports Medicine,1179-2035,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/40279
1842,548,Standort,1432-220X,Springer,Geography,Springer Hybrid,CC BY,https://springer.com/548
1843,11203,Statistical Inference for Stochastic Processes,1572-9311,Springer,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/11203
1844,10260,Statistical Methods & Applications,1613-981X,Springer,Statistics,Springer Hybrid,CC BY,https://springer.com/10260
1845,362,Statistical Papers,1613-9798,Springer,Statistics,Springer Hybrid,CC BY-NC-ND,https://springer.com/362
1846,11222,Statistics and Computing,1573-1375,Springer,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/11222
1847,12561,Statistics in Biosciences,1867-1772,Springer,Statistics,Springer Hybrid,CC BY,https://springer.com/12561
1848,12015,Stem Cell Reviews and Reports,2629-3277,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/12015
1849,477,Stochastic Environmental Research and Risk Assessment,1436-3259,Springer,Environment,Springer Hybrid,CC BY-NC-ND,https://springer.com/477
1850,40072,Stochastics and Partial Differential Equations: Analysis and Computations,2194-041X,Springer,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/40072
1851,66,Strahlentherapie und Onkologie,1439-099X,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/66
1852,11223,Strength of Materials,1573-9325,Springer,Materials Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/11223
1853,158,Structural and Multidisciplinary Optimization,1615-1488,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/158
1854,11224,Structural Chemistry,1572-9001,Springer,Chemistry,Springer Hybrid,CC BY-NC-ND,https://springer.com/11224
1855,11200,Studia Geophysica et Geodaetica,1573-1626,Springer,Earth Sciences,Springer Hybrid,CC BY,https://springer.com/11200
1856,11225,Studia Logica,1572-8730,Springer,Philosophy,Springer Hybrid,CC BY,https://springer.com/11225
1857,12116,Studies in Comparative International Development,1936-6167,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/12116
1858,11212,Studies in East European Thought,1573-0948,Springer,Philosophy,Springer Hybrid,CC BY-NC-ND,https://springer.com/11212
1859,11217,Studies in Philosophy and Education,1573-191X,Springer,Education,Springer Hybrid,CC BY-NC-ND,https://springer.com/11217
1860,41286,Subjectivity,1755-635X,Palgrave Macmillan,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/41286
1861,12355,Sugar Tech,0974-0740,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/12355
1862,520,Supportive Care in Cancer,1433-7339,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/520
1863,595,Surgery Today,1436-2813,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/595
1864,276,Surgical and Radiologic Anatomy,1279-8517,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/276
1865,464,Surgical Endoscopy,1432-2218,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/464
1866,10712,Surveys in Geophysics,1573-0956,Springer,Earth Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10712
1867,550,Sustainability Nexus Forum,2948-1627,Springer,Economics,Springer Hybrid,CC BY-NC-ND,https://springer.com/550
1868,11625,Sustainability Science,1862-4057,Springer,Environment,Springer Hybrid,CC BY-NC-ND,https://springer.com/11625
1869,40899,Sustainable Water Resources Management,2363-5045,Springer,Earth Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/40899
1870,11721,Swarm Intelligence,1935-3820,Springer,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/11721
1871,13199,Symbiosis,1878-7665,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/13199
1872,11229,Synthese,1573-0964,Springer,Philosophy,Springer Hybrid,CC BY-NC-ND,https://springer.com/11229
1873,11230,Systematic Parasitology,1573-5192,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/11230
1874,11213,Systemic Practice and Action Research,1573-9295,Springer,Business and Management,Springer Hybrid,CC BY-NC-ND,https://springer.com/11213
1875,43393,Systems Microbiology and Biomanufacturing,2662-7663,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/43393
1876,11523,Targeted Oncology,1776-260X,Adis,Medicine & Public Health,Springer Hybrid,CC BY-NC,https://springer.com/11523
1877,10758,"Technology, Knowledge and Learning",2211-1670,Springer,Education,Springer Hybrid,CC BY-NC-ND,https://springer.com/10758
